category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
shading,cmp_cornsweet.jpg,orig,1,3604,124.0,0.0
shading,cmp_cornsweet.jpg,midas,1,3604,175.54,0.0
shading,cmp_cornsweet.jpg,orig,2,2464,231.24,107.24
shading,cmp_cornsweet.jpg,midas,2,2464,191.0,15.46
shading,cmp_crater_dome.jpg,orig,1,18078,100.52,0.0
shading,cmp_crater_dome.jpg,midas,1,18078,94.1,0.0
shading,cmp_dragon.jpeg,orig,1,7738,107.14,0.0
shading,cmp_dragon.jpeg,midas,1,7738,224.82,0.0
shading,cmp_dragon.jpeg,orig,2,864,93.82,13.32
shading,cmp_dragon.jpeg,midas,2,864,164.4,60.42
shading,cmp_figure_ground.png,orig,1,2990,254.0,0.0
shading,cmp_figure_ground.png,midas,1,2990,97.65,0.0
shading,cmp_figure_ground.png,orig,2,6480,0.0,254.0
shading,cmp_figure_ground.png,midas,2,6480,30.4,67.25
shading,cmp_hollow_face.jpg,orig,1,14750,200.0,0.0
shading,cmp_hollow_face.jpg,midas,1,14750,229.0,0.0
shading,cmp_hollow_face.jpg,orig,2,14933,165.03,34.97
shading,cmp_hollow_face.jpg,midas,2,14933,177.08,51.92
shading,cmp_Kersten's_shadow_effect.jpg,orig,1,4428,177.0,0.0
shading,cmp_Kersten's_shadow_effect.jpg,midas,1,4428,198.2,0.0
shading,cmp_Kersten's_shadow_effect.jpg,orig,2,1665,233.0,56.0
shading,cmp_Kersten's_shadow_effect.jpg,midas,2,1665,159.85,38.35
shading,cmp_sun_silhouette.jpeg,orig,1,1036,245.94,0.0
shading,cmp_sun_silhouette.jpeg,midas,1,1036,101.54,0.0
shading,cmp_sun_silhouette.jpeg,orig,2,6466,1.04,244.9
shading,cmp_sun_silhouette.jpeg,midas,2,6466,97.38,4.16
shading,cmp_zebra_crossing.jpg,orig,1,960,83.52,0.0
shading,cmp_zebra_crossing.jpg,midas,1,960,135.45,0.0
shading,cmp_zebra_crossing.jpg,orig,2,608,237.5,153.98
shading,cmp_zebra_crossing.jpg,midas,2,608,122.4,13.05
