category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
Converging Lines,cmp_grid_pattern.png,orig,1,51156,206.45,0.0
Converging Lines,cmp_grid_pattern.png,v1,1,51156,120.04,0.0
Converging Lines,cmp_grid_pattern.png,v2,1,51156,112.96,0.0
Converging Lines,cmp_grid_pattern.png,v3,1,51156,182.23,0.0
Converging Lines,cmp_grid_pattern.png,orig,2,5890,182.59,23.86
Converging Lines,cmp_grid_pattern.png,v1,2,5890,14.03,106.01
Converging Lines,cmp_grid_pattern.png,v2,2,5890,12.7,100.26
Converging Lines,cmp_grid_pattern.png,v3,2,5890,43.93,138.3
Converging Lines,cmp_grid_patter_offset.png,orig,1,47500,206.11,0.0
Converging Lines,cmp_grid_patter_offset.png,v1,1,47500,94.4,0.0
Converging Lines,cmp_grid_patter_offset.png,v2,1,47500,79.75,0.0
Converging Lines,cmp_grid_patter_offset.png,v3,1,47500,158.24,0.0
Converging Lines,cmp_grid_patter_offset.png,orig,2,11098,199.35,6.76
Converging Lines,cmp_grid_patter_offset.png,v1,2,11098,22.06,72.34
Converging Lines,cmp_grid_patter_offset.png,v2,2,11098,18.88,60.87
Converging Lines,cmp_grid_patter_offset.png,v3,2,11098,69.72,88.52
Converging Lines,cmp_hallway.jpg,orig,1,10710,117.34,0.0
Converging Lines,cmp_hallway.jpg,v1,1,10710,135.87,0.0
Converging Lines,cmp_hallway.jpg,v2,1,10710,137.68,0.0
Converging Lines,cmp_hallway.jpg,v3,1,10710,231.09,0.0
Converging Lines,cmp_hallway.jpg,orig,2,1224,119.02,1.68
Converging Lines,cmp_hallway.jpg,v1,2,1224,21.86,114.01
Converging Lines,cmp_hallway.jpg,v2,2,1224,16.93,120.75
Converging Lines,cmp_hallway.jpg,v3,2,1224,109.7,121.39
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,1,4224,151.06,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,1,4224,67.29,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,1,4224,62.04,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,1,4224,109.49,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,2,3025,154.47,3.41
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,2,3025,33.11,34.18
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,2,3025,39.73,22.31
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,2,3025,115.23,5.74
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
Shading and illumination,cmp_dragon.png,orig,1,1551,115.47,0.0
Shading and illumination,cmp_dragon.png,v1,1,1551,8.23,0.0
Shading and illumination,cmp_dragon.png,v2,1,1551,11.43,0.0
Shading and illumination,cmp_dragon.png,v3,1,1551,9.64,0.0
Shading and illumination,cmp_dragon.png,orig,2,3577,113.74,1.73
Shading and illumination,cmp_dragon.png,v1,2,3577,10.46,2.23
Shading and illumination,cmp_dragon.png,v2,2,3577,16.37,4.94
Shading and illumination,cmp_dragon.png,v3,2,3577,2.29,7.35
Shading and illumination,cmp_dragon_zoom.png,orig,1,23808,124.26,0.0
Shading and illumination,cmp_dragon_zoom.png,v1,1,23808,47.62,0.0
Shading and illumination,cmp_dragon_zoom.png,v2,1,23808,52.07,0.0
Shading and illumination,cmp_dragon_zoom.png,v3,1,23808,77.68,0.0
Shading and illumination,cmp_dragon_zoom.png,orig,2,28024,116.72,7.54
Shading and illumination,cmp_dragon_zoom.png,v1,2,28024,89.84,42.22
Shading and illumination,cmp_dragon_zoom.png,v2,2,28024,80.31,28.24
Shading and illumination,cmp_dragon_zoom.png,v3,2,28024,26.64,51.04
Shading and illumination,cmp_grid_bias.png,orig,1,20303,173.51,0.0
Shading and illumination,cmp_grid_bias.png,v1,1,20303,65.69,0.0
Shading and illumination,cmp_grid_bias.png,v2,1,20303,66.38,0.0
Shading and illumination,cmp_grid_bias.png,v3,1,20303,159.32,0.0
Shading and illumination,cmp_grid_bias.png,orig,2,1430,164.89,8.62
Shading and illumination,cmp_grid_bias.png,v1,2,1430,2.84,62.85
Shading and illumination,cmp_grid_bias.png,v2,2,1430,1.51,64.87
Shading and illumination,cmp_grid_bias.png,v3,2,1430,25.15,134.17
Shading and illumination,cmp_grid_bias_smooth.png,orig,1,22895,207.01,0.0
Shading and illumination,cmp_grid_bias_smooth.png,v1,1,22895,68.56,0.0
Shading and illumination,cmp_grid_bias_smooth.png,v2,1,22895,64.56,0.0
Shading and illumination,cmp_grid_bias_smooth.png,v3,1,22895,210.42,0.0
Shading and illumination,cmp_grid_bias_smooth.png,orig,2,2200,198.29,8.72
Shading and illumination,cmp_grid_bias_smooth.png,v1,2,2200,4.15,64.41
Shading and illumination,cmp_grid_bias_smooth.png,v2,2,2200,1.94,62.62
Shading and illumination,cmp_grid_bias_smooth.png,v3,2,2200,58.57,151.85
Shading and illumination,cmp_grid_torch.png,orig,1,21437,176.2,0.0
Shading and illumination,cmp_grid_torch.png,v1,1,21437,49.26,0.0
Shading and illumination,cmp_grid_torch.png,v2,1,21437,37.39,0.0
Shading and illumination,cmp_grid_torch.png,v3,1,21437,159.11,0.0
Shading and illumination,cmp_grid_torch.png,orig,2,2142,181.55,5.35
Shading and illumination,cmp_grid_torch.png,v1,2,2142,6.0,43.26
Shading and illumination,cmp_grid_torch.png,v2,2,2142,4.38,33.01
Shading and illumination,cmp_grid_torch.png,v3,2,2142,60.81,98.3
Shading and illumination,cmp_hollow_face.png,orig,1,17810,5.16,0.0
Shading and illumination,cmp_hollow_face.png,v1,1,17810,72.75,0.0
Shading and illumination,cmp_hollow_face.png,v2,1,17810,142.89,0.0
Shading and illumination,cmp_hollow_face.png,v3,1,17810,116.35,0.0
Shading and illumination,cmp_hollow_face.png,orig,2,25670,148.69,143.53
Shading and illumination,cmp_hollow_face.png,v1,2,25670,53.09,19.66
Shading and illumination,cmp_hollow_face.png,v2,2,25670,9.45,133.44
Shading and illumination,cmp_hollow_face.png,v3,2,25670,165.81,49.46
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
Converging Lines,cmp_infinite_grid.png,orig,1,37036,137.06,0.0
Converging Lines,cmp_infinite_grid.png,v1,1,37036,155.15,0.0
Converging Lines,cmp_infinite_grid.png,v2,1,37036,166.9,0.0
Converging Lines,cmp_infinite_grid.png,v3,1,37036,151.02,0.0
Converging Lines,cmp_infinite_grid.png,orig,2,9504,176.94,39.88
Converging Lines,cmp_infinite_grid.png,v1,2,9504,40.17,114.98
Converging Lines,cmp_infinite_grid.png,v2,2,9504,52.53,114.37
Converging Lines,cmp_infinite_grid.png,v3,2,9504,46.94,104.08
Converging Lines,cmp_infinite_grid.png,orig,3,572,165.59,0.0
Converging Lines,cmp_infinite_grid.png,v1,3,572,19.26,0.0
Converging Lines,cmp_infinite_grid.png,v2,3,572,26.16,0.0
Converging Lines,cmp_infinite_grid.png,v3,3,572,34.87,0.0
Converging Lines,cmp_infinite_grid.png,orig,4,144,172.9,7.31
Converging Lines,cmp_infinite_grid.png,v1,4,144,1.99,17.27
Converging Lines,cmp_infinite_grid.png,v2,4,144,4.81,21.35
Converging Lines,cmp_infinite_grid.png,v3,4,144,33.39,1.48
---,CATEGORY: FORCED PERSPECTIVE,---,---,---,---,---
Forced perspective,cmp_ladder.png,orig,1,396,71.74,0.0
Forced perspective,cmp_ladder.png,v1,1,396,130.81,0.0
Forced perspective,cmp_ladder.png,v2,1,396,147.84,0.0
Forced perspective,cmp_ladder.png,v3,1,396,199.88,0.0
Forced perspective,cmp_ladder.png,orig,2,528,243.66,171.92
Forced perspective,cmp_ladder.png,v1,2,528,92.89,37.92
Forced perspective,cmp_ladder.png,v2,2,528,107.12,40.72
Forced perspective,cmp_ladder.png,v3,2,528,176.37,23.51
---,CATEGORY: IMPOSSIBLE OBJECTS,---,---,---,---,---
Impossible objects,cmp_penrose_triangle_adapted.png,orig,1,840,177.32,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v1,1,840,122.83,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v2,1,840,118.4,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v3,1,840,180.22,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,orig,2,1989,173.39,3.93
Impossible objects,cmp_penrose_triangle_adapted.png,v1,2,1989,87.65,35.18
Impossible objects,cmp_penrose_triangle_adapted.png,v2,2,1989,91.49,26.91
Impossible objects,cmp_penrose_triangle_adapted.png,v3,2,1989,131.7,48.52
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
Converging Lines,cmp_converging_tunnel.png,orig,1,1520,121.36,0.0
Converging Lines,cmp_converging_tunnel.png,v1,1,1520,95.39,0.0
Converging Lines,cmp_converging_tunnel.png,v2,1,1520,104.54,0.0
Converging Lines,cmp_converging_tunnel.png,v3,1,1520,118.0,0.0
Converging Lines,cmp_converging_tunnel.png,orig,2,720,152.16,30.8
Converging Lines,cmp_converging_tunnel.png,v1,2,720,92.38,3.01
Converging Lines,cmp_converging_tunnel.png,v2,2,720,101.68,2.86
Converging Lines,cmp_converging_tunnel.png,v3,2,720,117.96,0.04
Converging Lines,cmp_converging_tunnel_zoomed.png,orig,1,4284,135.69,0.0
Converging Lines,cmp_converging_tunnel_zoomed.png,v1,1,4284,84.19,0.0
Converging Lines,cmp_converging_tunnel_zoomed.png,v2,1,4284,143.51,0.0
Converging Lines,cmp_converging_tunnel_zoomed.png,v3,1,4284,119.65,0.0
Converging Lines,cmp_converging_tunnel_zoomed.png,orig,2,3500,143.61,7.92
Converging Lines,cmp_converging_tunnel_zoomed.png,v1,2,3500,58.24,25.95
Converging Lines,cmp_converging_tunnel_zoomed.png,v2,2,3500,80.75,62.76
Converging Lines,cmp_converging_tunnel_zoomed.png,v3,2,3500,46.35,73.3
---,CATEGORY: DEPTH AMBIGUITY,---,---,---,---,---
Depth ambiguity,cmp_concave_convex_cube.png,orig,1,3978,137.2,0.0
Depth ambiguity,cmp_concave_convex_cube.png,v1,1,3978,17.47,0.0
Depth ambiguity,cmp_concave_convex_cube.png,v2,1,3978,25.45,0.0
Depth ambiguity,cmp_concave_convex_cube.png,v3,1,3978,25.79,0.0
Depth ambiguity,cmp_concave_convex_cube.png,orig,2,10504,120.23,16.97
Depth ambiguity,cmp_concave_convex_cube.png,v1,2,10504,6.62,10.85
Depth ambiguity,cmp_concave_convex_cube.png,v2,2,10504,9.34,16.11
Depth ambiguity,cmp_concave_convex_cube.png,v3,2,10504,84.93,59.14
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,orig,1,10168,166.21,0.0
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v1,1,10168,64.12,0.0
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v2,1,10168,60.28,0.0
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v3,1,10168,53.42,0.0
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,orig,2,172634,120.24,45.97
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v1,2,172634,43.76,20.36
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v2,2,172634,45.89,14.39
Depth ambiguity,cmp_concave_convex_cube_zoomed.png,v3,2,172634,45.44,7.98
Depth ambiguity,cmp_concave_convex_furnace.png,orig,1,9900,146.75,0.0
Depth ambiguity,cmp_concave_convex_furnace.png,v1,1,9900,26.1,0.0
Depth ambiguity,cmp_concave_convex_furnace.png,v2,1,9900,29.57,0.0
Depth ambiguity,cmp_concave_convex_furnace.png,v3,1,9900,55.66,0.0
Depth ambiguity,cmp_concave_convex_furnace.png,orig,2,19305,92.82,53.93
Depth ambiguity,cmp_concave_convex_furnace.png,v1,2,19305,5.84,20.26
Depth ambiguity,cmp_concave_convex_furnace.png,v2,2,19305,9.95,19.62
Depth ambiguity,cmp_concave_convex_furnace.png,v3,2,19305,105.42,49.76
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,orig,1,14248,166.28,0.0
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v1,1,14248,58.51,0.0
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v2,1,14248,58.16,0.0
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v3,1,14248,81.27,0.0
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,orig,2,115898,89.46,76.82
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v1,2,115898,35.01,23.5
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v2,2,115898,40.05,18.11
Depth ambiguity,cmp_concave_convex_furnace_zoomed.png,v3,2,115898,53.02,28.25
Depth ambiguity,cmp_neckers_cube.png,orig,1,2409,115.05,0.0
Depth ambiguity,cmp_neckers_cube.png,v1,1,2409,95.75,0.0
Depth ambiguity,cmp_neckers_cube.png,v2,1,2409,69.64,0.0
Depth ambiguity,cmp_neckers_cube.png,v3,1,2409,217.46,0.0
Depth ambiguity,cmp_neckers_cube.png,orig,2,3498,126.33,11.28
Depth ambiguity,cmp_neckers_cube.png,v1,2,3498,191.14,95.39
Depth ambiguity,cmp_neckers_cube.png,v2,2,3498,200.22,130.58
Depth ambiguity,cmp_neckers_cube.png,v3,2,3498,234.29,16.83
Depth ambiguity,cmp_schroeder_stairs.png,orig,1,1702,170.84,0.0
Depth ambiguity,cmp_schroeder_stairs.png,v1,1,1702,44.65,0.0
Depth ambiguity,cmp_schroeder_stairs.png,v2,1,1702,50.84,0.0
Depth ambiguity,cmp_schroeder_stairs.png,v3,1,1702,79.06,0.0
Depth ambiguity,cmp_schroeder_stairs.png,orig,2,2156,147.58,23.26
Depth ambiguity,cmp_schroeder_stairs.png,v1,2,2156,27.22,17.43
Depth ambiguity,cmp_schroeder_stairs.png,v2,2,2156,33.54,17.3
Depth ambiguity,cmp_schroeder_stairs.png,v3,2,2156,55.69,23.37
Depth ambiguity,cmp_schroeder_stairs_lantern.png,orig,1,2058,150.77,0.0
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v1,1,2058,32.83,0.0
