category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: AERIAL_PERSPECTIVE,---,---,---,---,---
aerial_perspective,cmp_contrast_074.png,v1,2,896,140.82,16.5
aerial_perspective,cmp_contrast_074.png,v2,2,896,3.02,2.96
aerial_perspective,cmp_contrast_074.png,v3,2,896,93.48,17.53
aerial_perspective,cmp_contrast_082.png,orig,1,1189,82.0,0.0
aerial_perspective,cmp_contrast_082.png,v1,1,1189,126.89,0.0
aerial_perspective,cmp_contrast_082.png,v2,1,1189,0.1,0.0
aerial_perspective,cmp_contrast_082.png,v3,1,1189,79.66,0.0
aerial_perspective,cmp_contrast_082.png,orig,2,918,240.0,158.0
aerial_perspective,cmp_contrast_082.png,v1,2,918,140.64,13.75
aerial_perspective,cmp_contrast_082.png,v2,2,918,2.77,2.67
aerial_perspective,cmp_contrast_082.png,v3,2,918,94.6,14.94
aerial_perspective,cmp_contrast_091.png,orig,1,1080,91.0,0.0
aerial_perspective,cmp_contrast_091.png,v1,1,1080,128.03,0.0
aerial_perspective,cmp_contrast_091.png,v2,1,1080,0.05,0.0
aerial_perspective,cmp_contrast_091.png,v3,1,1080,85.24,0.0
aerial_perspective,cmp_contrast_091.png,orig,2,544,240.0,149.0
aerial_perspective,cmp_contrast_091.png,v1,2,544,137.78,9.75
aerial_perspective,cmp_contrast_091.png,v2,2,544,2.27,2.22
aerial_perspective,cmp_contrast_091.png,v3,2,544,94.4,9.16
aerial_perspective,cmp_contrast_099.png,orig,1,896,99.0,0.0
aerial_perspective,cmp_contrast_099.png,v1,1,896,126.24,0.0
aerial_perspective,cmp_contrast_099.png,v2,1,896,0.01,0.0
aerial_perspective,cmp_contrast_099.png,v3,1,896,88.2,0.0
aerial_perspective,cmp_contrast_099.png,orig,2,896,240.0,141.0
aerial_perspective,cmp_contrast_099.png,v1,2,896,138.1,11.86
aerial_perspective,cmp_contrast_099.png,v2,2,896,2.15,2.14
aerial_perspective,cmp_contrast_099.png,v3,2,896,94.8,6.6
aerial_perspective,cmp_contrast_107.png,orig,1,1216,107.0,0.0
aerial_perspective,cmp_contrast_107.png,v1,1,1216,130.14,0.0
aerial_perspective,cmp_contrast_107.png,v2,1,1216,0.4,0.0
aerial_perspective,cmp_contrast_107.png,v3,1,1216,113.23,0.0
aerial_perspective,cmp_contrast_107.png,orig,2,900,240.0,133.0
aerial_perspective,cmp_contrast_107.png,v1,2,900,138.2,8.06
aerial_perspective,cmp_contrast_107.png,v2,2,900,1.9,1.5
aerial_perspective,cmp_contrast_107.png,v3,2,900,116.5,3.27
aerial_perspective,cmp_contrast_115.png,orig,1,672,115.0,0.0
aerial_perspective,cmp_contrast_115.png,v1,1,672,126.63,0.0
aerial_perspective,cmp_contrast_115.png,v2,1,672,0.13,0.0
aerial_perspective,cmp_contrast_115.png,v3,1,672,112.33,0.0
aerial_perspective,cmp_contrast_115.png,orig,2,1080,240.0,125.0
aerial_perspective,cmp_contrast_115.png,v1,2,1080,138.2,11.57
aerial_perspective,cmp_contrast_115.png,v2,2,1080,1.94,1.81
aerial_perspective,cmp_contrast_115.png,v3,2,1080,113.44,1.11
aerial_perspective,cmp_contrast_124.png,orig,1,1140,124.0,0.0
aerial_perspective,cmp_contrast_124.png,v1,1,1140,124.77,0.0
aerial_perspective,cmp_contrast_124.png,v2,1,1140,0.12,0.0
aerial_perspective,cmp_contrast_124.png,v3,1,1140,119.45,0.0
aerial_perspective,cmp_contrast_124.png,orig,2,986,240.0,116.0
aerial_perspective,cmp_contrast_124.png,v1,2,986,138.51,13.74
aerial_perspective,cmp_contrast_124.png,v2,2,986,2.67,2.55
aerial_perspective,cmp_contrast_124.png,v3,2,986,120.96,1.51
aerial_perspective,cmp_contrast_132.png,orig,1,899,132.0,0.0
aerial_perspective,cmp_contrast_132.png,v1,1,899,128.17,0.0
aerial_perspective,cmp_contrast_132.png,v2,1,899,0.5,0.0
aerial_perspective,cmp_contrast_132.png,v3,1,899,124.9,0.0
aerial_perspective,cmp_contrast_132.png,orig,2,1044,240.0,108.0
aerial_perspective,cmp_contrast_132.png,v1,2,1044,139.08,10.91
aerial_perspective,cmp_contrast_132.png,v2,2,1044,2.26,1.76
aerial_perspective,cmp_contrast_132.png,v3,2,1044,121.19,3.71
aerial_perspective,cmp_contrast_140.png,orig,1,759,140.0,0.0
aerial_perspective,cmp_contrast_140.png,v1,1,759,127.26,0.0
aerial_perspective,cmp_contrast_140.png,v2,1,759,0.43,0.0
aerial_perspective,cmp_contrast_140.png,v3,1,759,128.97,0.0
aerial_perspective,cmp_contrast_140.png,orig,2,525,240.0,100.0
