Category,Image_Base,Model,Point_ID,X,Y,Intensity
shading,cmp_hollow_face.jpg,v3,2,3693,654,207
shading,cmp_hollow_face.jpg,orig,3,305,411,229
shading,cmp_hollow_face.jpg,v1,3,1296,411,204
shading,cmp_hollow_face.jpg,v2,3,2287,411,176
shading,cmp_hollow_face.jpg,v3,3,3278,411,212
shading,cmp_hollow_face.jpg,orig,4,747,391,179
shading,cmp_hollow_face.jpg,v1,4,1738,391,97
shading,cmp_hollow_face.jpg,v2,4,2729,391,63
shading,cmp_hollow_face.jpg,v3,4,3720,391,193
shading,cmp_Kersten's_shadow_effect.jpg,orig,1,214,592,177
shading,cmp_Kersten's_shadow_effect.jpg,v1,1,1206,592,224
shading,cmp_Kersten's_shadow_effect.jpg,v2,1,2198,592,214
shading,cmp_Kersten's_shadow_effect.jpg,v3,1,3190,592,203
shading,cmp_Kersten's_shadow_effect.jpg,orig,2,477,535,177
shading,cmp_Kersten's_shadow_effect.jpg,v1,2,1469,535,185
shading,cmp_Kersten's_shadow_effect.jpg,v2,2,2461,535,196
shading,cmp_Kersten's_shadow_effect.jpg,v3,2,3453,535,198
shading,cmp_Kersten's_shadow_effect.jpg,orig,3,747,484,177
shading,cmp_Kersten's_shadow_effect.jpg,v1,3,1739,484,140
shading,cmp_Kersten's_shadow_effect.jpg,v2,3,2731,484,174
shading,cmp_Kersten's_shadow_effect.jpg,v3,3,3723,484,193
shading,cmp_zebra_crossing.jpg,orig,1,134,630,81
shading,cmp_zebra_crossing.jpg,v1,1,1127,630,151
shading,cmp_zebra_crossing.jpg,v2,1,2120,630,170
shading,cmp_zebra_crossing.jpg,v3,1,3113,630,224
shading,cmp_zebra_crossing.jpg,orig,2,137,608,235
shading,cmp_zebra_crossing.jpg,v1,2,1130,608,144
shading,cmp_zebra_crossing.jpg,v2,2,2123,608,166
shading,cmp_zebra_crossing.jpg,v3,2,3116,608,222
shading,cmp_zebra_crossing.jpg,orig,3,210,528,238
shading,cmp_zebra_crossing.jpg,v1,3,1203,528,91
shading,cmp_zebra_crossing.jpg,v2,3,2196,528,108
shading,cmp_zebra_crossing.jpg,v3,3,3189,528,199
